element;d1;d2;d3;d4
AlAl;0.0;-0.0;0.0;-0.0
AlCo;-0.098179;0.019204;-0.032396;-0.011243
AlCl;0.066105;-0.02765;0.025136;0.006346
AlAg;0.014726;0.008353;-0.000303;0.007971
AlTc;-0.078875;0.032195;-0.037707;-0.000484
AlCd;0.059313;0.001086;0.011609;0.018214
AlCa;0.110393;-0.013951;0.031734;0.025777
AlSc;0.034977;0.005444;0.009001;0.0085
AlAs;0.027871;-0.007819;0.007543;0.004921
AlAt;0.190334;-0.026319;0.050514;0.059903
AlAu;0.009395;0.010327;-0.004645;0.008859
AlCu;-0.04229;0.007143;-0.011179;-0.007552
AlCr;-0.096421;0.024619;-0.037159;-0.006961
AlCs;0.241529;-0.042109;0.071039;0.073989
AlMg;0.033634;0.000766;0.009359;0.008193
AlIn;0.081344;-0.004213;0.016942;0.023648
AlRh;-0.064916;0.024348;-0.028089;-0.002291
AlMn;-0.107393;0.023772;-0.040023;-0.008438
AlMo;-0.061661;0.032356;-0.032129;0.000987
AlRu;-0.080369;0.029243;-0.03607;-0.002003
AlTa;-0.026216;0.027469;-0.018332;0.003597
AlZn;-0.005531;0.000519;-0.000963;-0.001181
AlBa;0.234205;-0.04007;0.069607;0.072098
AlOs;-0.081797;0.031805;-0.039783;2.9e-05
AlZr;0.033845;0.013504;0.004402;0.011342
AlHg;0.065447;0.000975;0.011302;0.020741
AlPd;-0.032438;0.017059;-0.015119;0.000303
AlIr;-0.067991;0.026864;-0.032946;-0.000339
AlGa;0.012551;-0.002843;0.003085;0.002325
AlPo;0.162509;-0.016803;0.035632;0.051796
AlGe;0.019812;-0.004754;0.004824;0.004059
AlBi;0.147966;-0.01268;0.031333;0.044775
AlK;0.156265;-0.031035;0.044466;0.041021
AlI;0.150375;-0.02713;0.037275;0.039256
AlBe;-0.059028;0.001962;-0.012666;-0.013468
AlPb;0.133787;-0.010496;0.028299;0.040009
AlTl;0.108279;-0.006798;0.022464;0.032028
AlY;0.105515;-0.008713;0.028446;0.026258
AlV;-0.071445;0.023832;-0.028443;-0.005279
AlW;-0.061422;0.033746;-0.033381;0.001703
AlBr;0.100131;-0.027524;0.030184;0.0189
AlS;0.009687;-0.016534;0.009836;-0.005883
AlP;-0.01564;-0.007992;-0.000114;-0.007775
AlRb;0.201436;-0.045403;0.061934;0.057752
AlNi;-0.077178;0.014231;-0.023371;-0.010984
AlTi;-0.028417;0.018182;-0.012424;-0.001332
AlPt;-0.037928;0.019356;-0.020256;0.001908
AlNa;0.060884;-0.005634;0.019181;0.012441
AlHf;0.025753;0.014463;0.002538;0.009903
AlLi;-0.014464;0.003809;-0.000109;-0.005099
AlNb;-0.026483;0.027152;-0.018184;0.003197
AlSn;0.092057;-0.00747;0.019361;0.026288
AlSi;-0.016994;-0.003516;-0.002803;-0.005524
AlFe;-0.107895;0.022016;-0.038078;-0.010069
AlSr;0.17328;-0.032599;0.048106;0.048735
AlSe;0.05039;-0.01533;0.015727;0.007952
AlSb;0.101649;-0.01101;0.021988;0.028531
AlTe;0.116458;-0.016427;0.026618;0.030904
AlRe;-0.07919;0.034227;-0.040133;0.000976
